productName,price,rating,moisturizing,soothing,visiblepores,skinconcern_total,sensitive,uva3,uva4,mineral,nowhitecast,synthetic,formula_total,spf30,spf50,link
[Duo Set] numbuzin No. 1 Pure-full Calming Water Sunscreen SPF50 PA++++ 50mL + 50mL Duo Set,USD 26.00,4.8,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518528
[Duo Set] numbuzin No. 3 Porcelain Base-skip Tone Up Beige SPF50+ PA++++ 35mL + 35mL Duo Set,USD 26.00,4.6,0,1,1,2,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518530
Dr.G Green Mild Up Sun+ 50mL,USD 0.99,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230217721
Abib Airy Sunstick Smoothing Bar SPF50+,USD 37.00,4.7,0,1,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230719483
Abib Heartleaf Sun Essence Calming Drop 50mL,USD 33.00,4.3,0,1,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418136
rom&nd Back Me Tone Up Sun Cushion,USD 24.00,4.5,0,0,0,0,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418352
Cell Fusion C Laser Sun Screen 100 35mL 1+1 Special Set (+Dark Spot Serum 20mL+ Pore Sun Cleansing Foam 30mL),USD 39.00,4.3,0,0,0,0,1,1,0,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220414210
asis-tobe Green Tea Moisture Sun Block 50mL,USD 32.00,5,0,1,0,1,1,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619128
asis-tobe Pure Mineral Sun Cream 50mL,USD 32.00,4.8,0,1,0,1,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619126
ATRUE Origin Safe Mild Sunblock,USD 28.00,,0,1,0,1,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619403
AXIS-Y Complete No-Stress Physical Sunscreen 50mL,USD 23.00,4.3,1,1,0,2,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518757
Beauty of Joseon Ginseng Moist Sun Serum 50mL,USD 24.00,4.5,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518751
Beauty of Joseon Matte sun stick : Mugwort + Camelia 18g,USD 24.00,4.6,0,0,0,0,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230117319
Beauty of Joseon Relief Sun : Rice + Probiotics 50mL,USD 24.00,4.8,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220816046
Beauty of Joseon Relief Sun: Rice + Probiotics (SPF50+ PA++++) Double Pack 50mL*2ea,USD 33.00,4.9,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220615265
